RP,Nom du parlementaire,Bénéficiaire,Pays,Somme,Programme,Programme détaillé,Année
AN,PONIATOWSKI,Eragny lecture,,1000,209-02,Développement - Coopération bilatérale,2012
AN,PONIATOWSKI,Côte de nuits,,1000,209-02,Développement - Coopération bilatérale,2012
AN,PRIOU,Vahiny-Magagascar,,2000,209-02,Développement - Coopération bilatérale,2012
AN,REMILLER,"AGUA-BLANCA ""Les enfants de Cali""",,1000,209-02,Développement - Coopération bilatérale,2012
AN,REMILLER,Fonds arménien de France,,1000,209-02,Développement - Coopération bilatérale,2012
AN,REMILLER,La Sénégauloise,,1000,209-02,Développement - Coopération bilatérale,2012
AN,REMILLER,M'BOUR,,1000,209-02,Développement - Coopération bilatérale,2012
AN,REMILLER,Franco Béninoise d'Echanges,,1000,209-02,Développement - Coopération bilatérale,2012
AN,REMILLER,Les Amis d'Alexandre Lienard,,1000,209-02,Développement - Coopération bilatérale,2012
AN,RICHARD,Action solidarité et Développement sans frontières,,1000,209-02,Développement - Coopération bilatérale,2012
AN,RICHARD,Aéroclub Roger Janin,,2000,209-02,Développement - Coopération bilatérale,2012
AN,RICHARD,Solidarité et d'Aide au Développement des Femmes en Mauritanie,,1500,209-02,Développement - Coopération bilatérale,2012
AN,RICHARD,Lumières de Madagascar,,1500,209-02,Développement - Coopération bilatérale,2012
AN,RICHARD,Sauvez Sagobé Village,,1000,209-02,Développement - Coopération bilatérale,2012
AN,ROBINET,Un collège Solidaire,,5000,209-07,Développement - Coopération communautaire,2012
AN,ROCHEBLOINE,Fonds arménien de France,,20000,209-02,Développement - Coopération bilatérale,2012
AN,ROCHEBLOINE,Rharous Amitié,,5000,209-02,Développement - Coopération bilatérale,2012
AN,ROUQUET,Fond Arménien de France,,40000,209-05,Développement - Coopération multilatérale,2012
AN,SAINT-LEGER,Association Mendiego,,1000,209-02,Développement - Coopération bilatérale,2012
AN,SAINT-LEGER,Association RACING 4L,,1000,209-02,Développement - Coopération bilatérale,2012
AN,SORDI,"Kraing Speu - L'eau, un enjeu vital",,3000,209-02,Développement - Coopération bilatérale,2012
AN,SPAGNOU,SCOBA,,2000,209-02,Développement - Coopération bilatérale,2012
AN,TABAROT,Action Enfance Cambodge,,1000,209-02,Développement - Coopération bilatérale,2012
AN,TABAROT,Amphore International,,1000,209-02,Développement - Coopération bilatérale,2012
AN,TABAROT,Terre d'Azur,,1000,209-02,Développement - Coopération bilatérale,2012
AN,TABAROT,VALESCOT MILOT,,1000,209-02,Développement - Coopération bilatérale,2012
AN,TAUGOURDEAU,Urgence Afrique,,4000,209-02,Développement - Coopération bilatérale,2012
AN,TEISSIER,Horizons Arménie,,2500,209-02,Développement - Coopération bilatérale,2012
AN,TEISSIER,Terre d'Arménie,,1500,209-02,Développement - Coopération bilatérale,2012
AN,TERROT,Amour Sans Frontière,,5000,209-02,Développement - Coopération bilatérale,2012
AN,TERROT,Espoir pour un Enfant,,3000,209-02,Développement - Coopération bilatérale,2012
S,TEULADE,Deux comités de jumelage - Sakal (Sénégal) et Bad König ,,1000,185-02,Coopération culturelle et promotion du français,2012
AN,TIBERI,"Les œuvres hospitalières françaises de l'Ordre de Malte dite ""Ordre de Malte"" France",,3000,209-02,Développement - Coopération bilatérale,2012
